Year,StateAbbreviation,OFFICE NAME,Candidate,PARTY,Votes,Percent,VOTER REGISTRATION COUNT,TURNOUT
2020,TX,STATE REPRESENTATIVE DISTRICT 121,CELINA MONTOYA,DEM,43863,46.55%,"16,955,519",0.56%
2020,TX,STATE REPRESENTATIVE DISTRICT 122,LYLE LARSON (I),REP,74149,59.63%,"16,955,519",0.73%
2020,TX,STATE REPRESENTATIVE DISTRICT 122,CLAIRE BARNETT,DEM,50195,40.37%,"16,955,519",0.73%
2020,TX,STATE REPRESENTATIVE DISTRICT 123,DIEGO BERNAL (I),DEM,3,100%,"16,955,519",0%
2020,TX,STATE REPRESENTATIVE DISTRICT 124,INA MINJAREZ (I),DEM,3,100%,"16,955,519",0%
2020,TX,STATE REPRESENTATIVE DISTRICT 125,RAY LOPEZ (I),DEM,45500,79.8%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 125,TONY VALDIVIA,LIB,11515,20.2%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 126,E. SAM HARLESS (I),REP,39457,53.32%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 126,NATALI HURTADO,DEM,34538,46.68%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 127,DAN HUBERTY (I),REP,60599,70.26%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 127,NEKO ANTONIOU,LIB,25653,29.74%,"16,955,519",0.51%
2020,TX,STATE REPRESENTATIVE DISTRICT 128,BRISCOE CAIN (I),REP,48831,68.39%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 128,MARY E. WILLIAMS,DEM,22569,31.61%,"16,955,519",0.42%
2020,TX,STATE REPRESENTATIVE DISTRICT 129,DENNIS PAUL (I),REP,49972,58.93%,"16,955,519",0.5%
2020,TX,STATE REPRESENTATIVE DISTRICT 129,KAYLA ALIX,DEM,34823,41.07%,"16,955,519",0.5%
2020,TX,STATE REPRESENTATIVE DISTRICT 130,TOM OLIVERSON (I),REP,71722,69%,"16,955,519",0.61%
2020,TX,STATE REPRESENTATIVE DISTRICT 130,BRYAN J HENRY,DEM,32229,31%,"16,955,519",0.61%
2020,TX,STATE REPRESENTATIVE DISTRICT 131,ALMA A. ALLEN (I),DEM,47790,100%,"16,955,519",0.28%
2020,TX,STATE REPRESENTATIVE DISTRICT 132,MIKE SCHOFIELD,REP,52299,51.82%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 132,GINA CALANNI (I),DEM,48514,48.07%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 132,TITUS BENTON,WRI,116,0.11%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 133,JIM MURPHY (I),REP,50785,57.17%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 133,SANDRA G MOORE,DEM,36550,41.15%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 133,JAMES HARREN,LIB,1490,1.68%,"16,955,519",0.52%
2020,TX,STATE REPRESENTATIVE DISTRICT 134,SARAH DAVIS (I),REP,51960,47.73%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 134,ANN JOHNSON,DEM,56895,52.27%,"16,955,519",0.64%
2020,TX,STATE REPRESENTATIVE DISTRICT 135,JUSTIN RAY,REP,36460,48.66%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 135,JON E. ROSENTHAL (I),DEM,36760,49.06%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 135,PAUL BILYEU,LIB,1703,2.27%,"16,955,519",0.44%
2020,TX,STATE REPRESENTATIVE DISTRICT 136,MIKE GUEVARA,REP,43533,43.07%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 136,JOHN H. BUCY III (I),DEM,53887,53.31%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 136,BRIAN ELLIOTT,LIB,3653,3.61%,"16,955,519",0.6%
2020,TX,STATE REPRESENTATIVE DISTRICT 137,GENE WU (I),DEM,23502,81.48%,"16,955,519",0.17%
2020,TX,STATE REPRESENTATIVE DISTRICT 137,LEE SHARP,LIB,5342,18.52%,"16,955,519",0.17%
2020,TX,STATE REPRESENTATIVE DISTRICT 138,LACEY HULL,REP,33081,51.64%,"16,955,519",0.38%
2020,TX,STATE REPRESENTATIVE DISTRICT 138,AKILAH BACY,DEM,30982,48.36%,"16,955,519",0.38%
2020,TX,STATE REPRESENTATIVE DISTRICT 139,JARVIS D. JOHNSON (I),DEM,48841,85.88%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 139,R. GRIZZLE TROJACEK,LIB,8029,14.12%,"16,955,519",0.34%
2020,TX,STATE REPRESENTATIVE DISTRICT 140,ARMANDO LUCIO WALLE (I),DEM,25989,100%,"16,955,519",0.15%
2020,TX,STATE REPRESENTATIVE DISTRICT 141,SENFRONIA THOMPSON (I),DEM,38529,100%,"16,955,519",0.23%
2020,TX,STATE REPRESENTATIVE DISTRICT 142,JASON ROWE,REP,14213,25.23%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 142,HAROLD V. DUTTON JR (I),DEM,42127,74.77%,"16,955,519",0.33%
2020,TX,STATE REPRESENTATIVE DISTRICT 143,ANA HERNANDEZ (I),DEM,30460,100%,"16,955,519",0.18%
2020,TX,STATE REPRESENTATIVE DISTRICT 144,TONY SALAS,REP,13528,43.58%,"16,955,519",0.18%
2020,TX,STATE REPRESENTATIVE DISTRICT 144,MARY ANN PEREZ (I),DEM,17516,56.42%,"16,955,519",0.18%
2020,TX,STATE REPRESENTATIVE DISTRICT 145,MARTHA ELENA FIERRO,REP,14445,33.73%,"16,955,519",0.25%
2020,TX,STATE REPRESENTATIVE DISTRICT 145,CHRISTINA MORALES (I),DEM,27415,64.01%,"16,955,519",0.25%
2020,TX,STATE REPRESENTATIVE DISTRICT 145,RICHARD AARON HOWELL,LIB,970,2.26%,"16,955,519",0.25%
2020,TX,STATE REPRESENTATIVE DISTRICT 146,SHAWN NICOLE THIERRY (I),DEM,45151,87.04%,"16,955,519",0.31%
2020,TX,STATE REPRESENTATIVE DISTRICT 146,JJ CAMPBELL,LIB,6723,12.96%,"16,955,519",0.31%
2020,TX,STATE REPRESENTATIVE DISTRICT 147,GARNET F. COLEMAN (I),DEM,58763,100%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 148,LUIS LA ROTTA,REP,21844,36.33%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 148,PENNY MORALES SHAW,DEM,38287,63.67%,"16,955,519",0.35%
2020,TX,STATE REPRESENTATIVE DISTRICT 149,LILY TRUONG,REP,21799,40.58%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 149,HUBERT VO (I),DEM,31919,59.42%,"16,955,519",0.32%
2020,TX,STATE REPRESENTATIVE DISTRICT 150,VALOREE SWANSON (I),REP,56512,58.15%,"16,955,519",0.57%
2020,TX,STATE REPRESENTATIVE DISTRICT 150,MICHAEL ROBERT WALSH,DEM,37466,38.55%,"16,955,519",0.57%
2020,TX,STATE REPRESENTATIVE DISTRICT 150,JESSE HERRERA,LIB,3206,3.3%,"16,955,519",0.57%
2020,TX,"CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT",JEFF ROSE (I),REP,650206,47.79%,"16,955,519",8.02%
2020,TX,"CHIEF JUSTICE, 3RD COURT OF APPEALS DISTRICT",DARLENE BYRNE,DEM,710399,52.21%,"16,955,519",8.02%
2020,TX,"CHIEF JUSTICE, 4TH COURT OF APPEALS DISTRICT",RENEE YANTA,REP,532769,47.34%,"16,955,519",6.64%
2020,TX,"CHIEF JUSTICE, 4TH COURT OF APPEALS DISTRICT",REBECA MARTINEZ,DEM,592716,52.66%,"16,955,519",6.64%
2020,TX,"CHIEF JUSTICE, 7TH COURT OF APPEALS DISTRICT",BRIAN QUINN (I),REP,272153,100%,"16,955,519",1.61%
2020,TX,"CHIEF JUSTICE, 8TH COURT OF APPEALS DISTRICT",JEFF ALLEY (I),REP,102426,35.29%,"16,955,519",1.71%
2020,TX,"CHIEF JUSTICE, 8TH COURT OF APPEALS DISTRICT",YVONNE RODRIGUEZ,DEM,187827,64.71%,"16,955,519",1.71%
2020,TX,"CHIEF JUSTICE, 9TH COURT OF APPEALS DISTRICT",SCOTT GOLEMON,REP,413116,100%,"16,955,519",2.44%
2020,TX,"CHIEF JUSTICE, 12TH COURT OF APPEALS DISTRICT",JIM WORTHEN (I),REP,351260,100%,"16,955,519",2.07%
2020,TX,"CHIEF JUSTICE, 14TH COURT OF APPEALS DISTRICT",TRACY ELIZABETH CHRISTOPHER,REP,1155345,50.03%,"16,955,519",13.62%
2020,TX,"CHIEF JUSTICE, 14TH COURT OF APPEALS DISTRICT",JANE ROBINSON,DEM,1154154,49.97%,"16,955,519",13.62%
2020,TX,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 3",RUSSELL LLOYD (I),REP,1136786,49.24%,"16,955,519",13.61%
2020,TX,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 3",VERONICA RIVAS-MOLLOY,DEM,1171700,50.76%,"16,955,519",13.61%
2020,TX,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 5",TERRY ADAMS,REP,1150910,49.9%,"16,955,519",13.6%
2020,TX,"JUSTICE, 1ST COURT OF APPEALS DISTRICT, PLACE 5",AMPARO MONIQUE GUERRA,DEM,1155448,50.1%,"16,955,519",13.6%
2020,TX,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 2",DANA WOMACK (I),REP,1039584,100%,"16,955,519",6.13%
2020,TX,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 - UNEXPIRED TERM",MIKE WALLACH (I),REP,847068,59.2%,"16,955,519",8.44%
2020,TX,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 6 - UNEXPIRED TERM",DELONIA  A. WATSON,DEM,583703,40.8%,"16,955,519",8.44%
2020,TX,"JUSTICE, 2ND COURT OF APPEALS DISTRICT, PLACE 7",BRIAN WALKER,REP,1028700,100%,"16,955,519",6.07%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 3",DAVID EVANS (I),REP,746875,47.68%,"16,955,519",9.24%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 3",BONNIE LEE GOLDSTEIN,DEM,819697,52.32%,"16,955,519",9.24%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 6",JOHN BROWNING,REP,740422,47.33%,"16,955,519",9.23%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 6",CRAIG SMITH,DEM,824025,52.67%,"16,955,519",9.23%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 8",BILL WHITEHILL (I),REP,736706,47.11%,"16,955,519",9.22%
2020,TX,"JUSTICE, 5TH COURT OF APPEALS DISTRICT, PLACE 8",DENNISE GARCIA,DEM,827189,52.89%,"16,955,519",9.22%
2020,TX,"JUSTICE, 6TH COURT OF APPEALS DISTRICT, PLACE 3",RALPH K. BURGESS (I),REP,273497,100%,"16,955,519",1.61%
2020,TX,"JUSTICE, 7TH COURT OF APPEALS DISTRICT, PLACE 4 - UNEXPIRED TERM",LARRY DOSS (I),REP,270785,100%,"16,955,519",1.6%
2020,TX,"JUSTICE, 10TH COURT OF APPEALS DISTRICT, PLACE 2",MATT JOHNSON,REP,397639,100%,"16,955,519",2.35%
2020,TX,"JUSTICE, 10TH COURT OF APPEALS DISTRICT, PLACE 3 - UNEXPIRED TERM",JOHN E. NEILL (I),REP,394964,100%,"16,955,519",2.33%
2020,TX,"JUSTICE, 11TH COURT OF APPEALS DISTRICT, PLACE 2",BRUCE WILLIAMS,REP,248796,100%,"16,955,519",1.47%
2020,TX,"JUSTICE, 11TH COURT OF APPEALS DISTRICT, PLACE 3 - UNEXPIRED TERM",W. STACY TROTTER,REP,247503,100%,"16,955,519",1.46%
2020,TX,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4 - UNEXPIRED TERM",JAIME TIJERINA (I),REP,313796,51.51%,"16,955,519",3.59%
2020,TX,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 4 - UNEXPIRED TERM",MIGDALIA LOPEZ,DEM,295445,48.49%,"16,955,519",3.59%
2020,TX,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 6",CLARISSA SILVA,REP,309007,50.93%,"16,955,519",3.58%
2020,TX,"JUSTICE, 13TH COURT OF APPEALS DISTRICT, PLACE 6",NEREIDA LOPEZ-SINGLETERRY,DEM,297684,49.07%,"16,955,519",3.58%
2020,TX,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 7",KEN WISE (I),REP,1162733,50.43%,"16,955,519",13.6%
2020,TX,"JUSTICE, 14TH COURT OF APPEALS DISTRICT, PLACE 7","TAMIKA ""TAMI"" CRAFT",DEM,1143040,49.57%,"16,955,519",13.6%
2020,TX,"DISTRICT JUDGE, 1ST JUDICIAL DISTRICT",CRAIG M. MIXSON (I),REP,26851,100%,"16,955,519",0.16%
2020,TX,"DISTRICT JUDGE, 2ND JUDICIAL DISTRICT",CHRIS DAY (I),REP,15995,100%,"16,955,519",0.09%
2020,TX,"DISTRICT JUDGE, 3RD JUDICIAL DISTRICT",MARK A. CALHOON (I),REP,56574,100%,"16,955,519",0.33%
2020,TX,"DISTRICT JUDGE, 4TH JUDICIAL DISTRICT",J. CLAY GOSSETT (I),REP,18999,100%,"16,955,519",0.11%
2020,TX,"DISTRICT JUDGE, 5TH JUDICIAL DISTRICT",BILL MILLER (I),REP,44002,100%,"16,955,519",0.26%
2020,TX,"DISTRICT JUDGE, 6TH JUDICIAL DISTRICT",R. WESLEY TIDWELL (I),REP,22365,100%,"16,955,519",0.13%
2020,TX,"DISTRICT JUDGE, 7TH JUDICIAL DISTRICT",KERRY L. RUSSELL (I),REP,86677,100%,"16,955,519",0.51%
2020,TX,"DISTRICT JUDGE, 8TH JUDICIAL DISTRICT",EDDIE NORTHCUTT (I),REP,25533,100%,"16,955,519",0.15%
2020,TX,"DISTRICT JUDGE, 9TH JUDICIAL DISTRICT",PHIL GRANT (I),REP,217340,100%,"16,955,519",1.28%
2020,TX,"DISTRICT JUDGE, 10TH JUDICIAL DISTRICT",KERRY L. NEVES (I),REP,113598,100%,"16,955,519",0.67%
2020,TX,"DISTRICT JUDGE, 11TH JUDICIAL DISTRICT",KRISTEN HAWKINS (I),DEM,1064910,100%,"16,955,519",6.28%
2020,TX,"DISTRICT JUDGE, 12TH JUDICIAL DISTRICT",DAVID W. MOORMAN,REP,35392,100%,"16,955,519",0.21%
2020,TX,"DISTRICT JUDGE, 13TH JUDICIAL DISTRICT",JAMES LAGOMARSINO (I),REP,17130,100%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 14TH JUDICIAL DISTRICT",JESSICA VOYCE LEWIS,REP,337536,37.55%,"16,955,519",5.3%
2020,TX,"DISTRICT JUDGE, 14TH JUDICIAL DISTRICT",ERIC V. MOYE (I),DEM,561441,62.45%,"16,955,519",5.3%
2020,TX,"DISTRICT JUDGE, 15TH JUDICIAL DISTRICT",JIM FALLON (I),REP,52731,100%,"16,955,519",0.31%
2020,TX,"DISTRICT JUDGE, 16TH JUDICIAL DISTRICT",SHERRY SHIPMAN (I),REP,280824,100%,"16,955,519",1.66%
2020,TX,"DISTRICT JUDGE, 17TH JUDICIAL DISTRICT",MELODY WILKINSON (I),REP,537858,100%,"16,955,519",3.17%
2020,TX,"DISTRICT JUDGE, 18TH JUDICIAL DISTRICT",SYDNEY B HEWLETT (I),REP,63745,100%,"16,955,519",0.38%
2020,TX,"DISTRICT JUDGE, 19TH JUDICIAL DISTRICT",THOMAS WEST,REP,71547,100%,"16,955,519",0.42%
2020,TX,"DISTRICT JUDGE, 20TH JUDICIAL DISTRICT",JOHN W. YOUNGBLOOD (I),REP,8714,100%,"16,955,519",0.05%
2020,TX,"DISTRICT JUDGE, 21ST JUDICIAL DISTRICT",CARSON CAMPBELL (I),REP,57661,100%,"16,955,519",0.34%
2020,TX,"DISTRICT JUDGE, 22ND JUDICIAL DISTRICT",R. BRUCE BOYER (I),REP,154615,100%,"16,955,519",0.91%
2020,TX,"DISTRICT JUDGE, 23RD JUDICIAL DISTRICT",BEN HARDIN (I),REP,25493,100%,"16,955,519",0.15%
2020,TX,"DISTRICT JUDGE, 24TH JUDICIAL DISTRICT",JACK W. MARR (I),REP,52475,100%,"16,955,519",0.31%
2020,TX,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",BILL OLD (I),REP,86740,100%,"16,955,519",0.51%
2020,TX,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",JESSICA RICHARD CRAWFORD (I),REP,85683,100%,"16,955,519",0.51%
2020,TX,"DISTRICT JUDGE, 26TH JUDICIAL DISTRICT",DONNA KING (I),REP,151304,55.33%,"16,955,519",1.61%
2020,TX,"DISTRICT JUDGE, 26TH JUDICIAL DISTRICT",BRIAN MCCONNELL,DEM,122165,44.67%,"16,955,519",1.61%
2020,TX,"DISTRICT JUDGE, 27TH JUDICIAL DISTRICT",JOHN GAUNTT (I),REP,114724,100%,"16,955,519",0.68%
2020,TX,"DISTRICT JUDGE, 28TH JUDICIAL DISTRICT",GREG PERKES,REP,57088,46.71%,"16,955,519",0.72%
2020,TX,"DISTRICT JUDGE, 28TH JUDICIAL DISTRICT",NANETTE HASETTE (I),DEM,65142,53.29%,"16,955,519",0.72%
2020,TX,"DISTRICT JUDGE, 29TH JUDICIAL DISTRICT",MICHAEL MOORE (I),REP,10732,100%,"16,955,519",0.06%
2020,TX,"DISTRICT JUDGE, 32ND JUDICIAL DISTRICT",GLEN HARRISON (I),REP,8489,100%,"16,955,519",0.05%
2020,TX,"DISTRICT JUDGE, 33RD JUDICIAL DISTRICT",ALLAN GARRETT (I),REP,39976,100%,"16,955,519",0.24%
2020,TX,"DISTRICT JUDGE, 34TH JUDICIAL DISTRICT",BILL MOODY (I),DEM,207509,100%,"16,955,519",1.22%
2020,TX,"DISTRICT JUDGE, 35TH JUDICIAL DISTRICT",MIKE SMITH,REP,16356,100%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 37TH JUDICIAL DISTRICT",JOSEPH P. APPELT,REP,304218,41.36%,"16,955,519",4.34%
2020,TX,"DISTRICT JUDGE, 37TH JUDICIAL DISTRICT",NICOLE GARZA,DEM,431259,58.64%,"16,955,519",4.34%
2020,TX,"DISTRICT JUDGE, 38TH JUDICIAL DISTRICT",CAMILE GLASSCOCK DUBOSE (I),REP,9734,100%,"16,955,519",0.06%
2020,TX,"DISTRICT JUDGE, 41ST JUDICIAL DISTRICT - UNEXPIRED TERM",ANNABELL &QUOT;ANNA&QUOT; PEREZ (I),DEM,204285,100%,"16,955,519",1.2%
2020,TX,"DISTRICT JUDGE, 42ND JUDICIAL DISTRICT",JAMES EIDSON (I),REP,55722,100%,"16,955,519",0.33%
2020,TX,"DISTRICT JUDGE, 43RD JUDICIAL DISTRICT",CRAIG TOWSON (I),REP,66004,100%,"16,955,519",0.39%
2020,TX,"DISTRICT JUDGE, 48TH JUDICIAL DISTRICT",DAVID EVANS (I),REP,424478,52.94%,"16,955,519",4.73%
2020,TX,"DISTRICT JUDGE, 48TH JUDICIAL DISTRICT",LAWRENCE MEYERS,DEM,377295,47.06%,"16,955,519",4.73%
2020,TX,"DISTRICT JUDGE, 50TH JUDICIAL DISTRICT",JENNIFER A. HABERT,REP,3467,100%,"16,955,519",0.02%
2020,TX,"DISTRICT JUDGE, 51ST JUDICIAL DISTRICT",CARMEN SYMES DUSEK (I),REP,40273,100%,"16,955,519",0.24%
2020,TX,"DISTRICT JUDGE, 52ND JUDICIAL DISTRICT",TRENT D. FARRELL (I),REP,18221,100%,"16,955,519",0.11%
2020,TX,"DISTRICT JUDGE, 53RD JUDICIAL DISTRICT",MARIA CANTò HEXSEL,DEM,428647,100%,"16,955,519",2.53%
2020,TX,"DISTRICT JUDGE, 56TH JUDICIAL DISTRICT",LONNIE COX (I),REP,96237,64.44%,"16,955,519",0.88%
2020,TX,"DISTRICT JUDGE, 56TH JUDICIAL DISTRICT",GEORGE LINDSEY,DEM,53107,35.56%,"16,955,519",0.88%
2020,TX,"DISTRICT JUDGE, 57TH JUDICIAL DISTRICT",ANTONIA &QUOT;TONI&QUOT; ARTEAGA (I),DEM,3,100%,"16,955,519",0%
2020,TX,"DISTRICT JUDGE, 59TH JUDICIAL DISTRICT",LARRY PHILLIPS (I),REP,52708,100%,"16,955,519",0.31%
2020,TX,"DISTRICT JUDGE, 60TH JUDICIAL DISTRICT",JUSTIN GARY SANDERSON (I),DEM,61305,100%,"16,955,519",0.36%
2020,TX,"DISTRICT JUDGE, 61ST JUDICIAL DISTRICT",ERIN ELIZABETH LUNCEFORD,REP,737544,47.01%,"16,955,519",9.25%
2020,TX,"DISTRICT JUDGE, 61ST JUDICIAL DISTRICT",FREDERICKA PHILLIPS (I),DEM,831316,52.99%,"16,955,519",9.25%
2020,TX,"DISTRICT JUDGE, 62ND JUDICIAL DISTRICT",WILL BIARD (I),REP,37739,100%,"16,955,519",0.22%
2020,TX,"DISTRICT JUDGE, 63RD JUDICIAL DISTRICT",ROLAND ANDRADE,REP,8520,51.44%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 63RD JUDICIAL DISTRICT",F. DAVID  ORTIZ,DEM,8042,48.56%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 65TH JUDICIAL DISTRICT",YAHARA LISA GUTIERREZ (I),DEM,202306,100%,"16,955,519",1.19%
2020,TX,"DISTRICT JUDGE, 67TH JUDICIAL DISTRICT",DON COSBY (I),REP,423940,52.98%,"16,955,519",4.72%
2020,TX,"DISTRICT JUDGE, 67TH JUDICIAL DISTRICT",MATTHEW HEGEMAN,DEM,376324,47.02%,"16,955,519",4.72%
2020,TX,"DISTRICT JUDGE, 71ST JUDICIAL DISTRICT",BRAD MORIN (I),REP,23735,100%,"16,955,519",0.14%
2020,TX,"DISTRICT JUDGE, 72ND JUDICIAL DISTRICT",RUBEN G. REYES (I),REP,93146,100%,"16,955,519",0.55%
2020,TX,"DISTRICT JUDGE, 73RD JUDICIAL DISTRICT",DAVID A. CANALES (I),DEM,3,100%,"16,955,519",0%
2020,TX,"DISTRICT JUDGE, 74TH JUDICIAL DISTRICT",GARY COLEY JR (I),REP,71464,100%,"16,955,519",0.42%
2020,TX,"DISTRICT JUDGE, 76TH JUDICIAL DISTRICT",ANGELA HAMMONDS SAUCIER (I),REP,16657,100%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 77TH JUDICIAL DISTRICT",PATRICK &QUOT;PAT&QUOT; SIMMONS (I),REP,14664,100%,"16,955,519",0.09%
2020,TX,"DISTRICT JUDGE, 78TH JUDICIAL DISTRICT",MEREDITH KENNEDY (I),REP,36430,100%,"16,955,519",0.21%
2020,TX,"DISTRICT JUDGE, 79TH JUDICIAL DISTRICT",RICHARD C TERRELL (I),DEM,11693,100%,"16,955,519",0.07%
2020,TX,"DISTRICT JUDGE, 80TH JUDICIAL DISTRICT",SHARON HEMPHILL,REP,728527,46.53%,"16,955,519",9.24%
2020,TX,"DISTRICT JUDGE, 80TH JUDICIAL DISTRICT",JERALYNN MANOR,DEM,837317,53.47%,"16,955,519",9.24%
2020,TX,"DISTRICT JUDGE, 84TH JUDICIAL DISTRICT",CURT W. BRANCHEAU (I),REP,12721,100%,"16,955,519",0.08%
2020,TX,"DISTRICT JUDGE, 88TH JUDICIAL DISTRICT",EARL STOVER III (I),REP,32653,100%,"16,955,519",0.19%
2020,TX,"DISTRICT JUDGE, 89TH JUDICIAL DISTRICT",CHARLIE BARNARD (I),REP,36341,100%,"16,955,519",0.21%
2020,TX,"DISTRICT JUDGE, 90TH JUDICIAL DISTRICT",STEPHEN BRISTOW (I),REP,10797,100%,"16,955,519",0.06%
2020,TX,"DISTRICT JUDGE, 91ST JUDICIAL DISTRICT",STEVEN R. HEROD (I),REP,7301,100%,"16,955,519",0.04%
2020,TX,"DISTRICT JUDGE, 92ND JUDICIAL DISTRICT",LUIS MANUEL SINGLETERRY (I),DEM,163081,100%,"16,955,519",0.96%
2020,TX,"DISTRICT JUDGE, 93RD JUDICIAL DISTRICT",FERNANDO MANCIAS (I),DEM,161266,100%,"16,955,519",0.95%
2020,TX,"DISTRICT JUDGE, 95TH JUDICIAL DISTRICT",MIKE LEE,REP,326810,36.38%,"16,955,519",5.3%
2020,TX,"DISTRICT JUDGE, 95TH JUDICIAL DISTRICT",MONICA PURDY,DEM,571557,63.62%,"16,955,519",5.3%
2020,TX,"DISTRICT JUDGE, 96TH JUDICIAL DISTRICT",PAT GALLAGHER,REP,428131,53.49%,"16,955,519",4.72%
2020,TX,"DISTRICT JUDGE, 96TH JUDICIAL DISTRICT",TIM BRANDENBURG,DEM,372287,46.51%,"16,955,519",4.72%
2020,TX,"DISTRICT JUDGE, 97TH JUDICIAL DISTRICT",JACK MCGAUGHEY (I),REP,19033,100%,"16,955,519",0.11%
2020,TX,"DISTRICT JUDGE, 98TH JUDICIAL DISTRICT",RHONDA HURLEY (I),DEM,431024,100%,"16,955,519",2.54%
2020,TX,"DISTRICT JUDGE, 99TH JUDICIAL DISTRICT",PHILLIP HAYS,REP,90668,100%,"16,955,519",0.53%
2020,TX,"DISTRICT JUDGE, 100TH JUDICIAL DISTRICT",STUART MESSER (I),REP,8596,100%,"16,955,519",0.05%
2020,TX,"DISTRICT JUDGE, 104TH JUDICIAL DISTRICT",JEFF PROPST,REP,45836,100%,"16,955,519",0.27%
2020,TX,"DISTRICT JUDGE, 108TH JUDICIAL DISTRICT",DOUG WOODBURN (I),REP,26210,100%,"16,955,519",0.15%
2020,TX,"DISTRICT JUDGE, 114TH JUDICIAL DISTRICT",AUSTIN REEVE JACKSON,REP,86660,100%,"16,955,519",0.51%
2020,TX,"DISTRICT JUDGE, 119TH JUDICIAL DISTRICT",BEN WOODWARD (I),REP,41272,100%,"16,955,519",0.24%
2020,TX,"DISTRICT JUDGE, 121ST JUDICIAL DISTRICT",JOHN A. &QUOT;TREY&QUOT; DIDWAY (I),REP,5380,100%,"16,955,519",0.03%
2020,TX,"DISTRICT JUDGE, 123RD JUDICIAL DISTRICT",LEANN KAY RAFFERTY (I),REP,17703,100%,"16,955,519",0.1%
2020,TX,"DISTRICT JUDGE, 124TH JUDICIAL DISTRICT",ALFONSO CHARLES (I),REP,37390,100%,"16,955,519",0.22%
2020,TX,"DISTRICT JUDGE, 125TH JUDICIAL DISTRICT",KYLE CARTER (I),DEM,1042490,100%,"16,955,519",6.15%
2020,TX,"DISTRICT JUDGE, 126TH JUDICIAL DISTRICT",AURORA MARTINEZ JONES,DEM,430676,100%,"16,955,519",2.54%
2020,TX,"DISTRICT JUDGE, 127TH JUDICIAL DISTRICT",NILE COPELAND,REP,711614,45.6%,"16,955,519",9.2%
2020,TX,"DISTRICT JUDGE, 127TH JUDICIAL DISTRICT",R.K. SANDILL (I),DEM,849085,54.4%,"16,955,519",9.2%
2020,TX,"DISTRICT JUDGE, 128TH JUDICIAL DISTRICT",COURTNEY ARKEEN (I),REP,32727,100%,"16,955,519",0.19%
2020,TX,"DISTRICT JUDGE, 129TH JUDICIAL DISTRICT",WILL ARCHER,REP,695805,44.49%,"16,955,519",9.22%
